Model,ROC-AUC,Accuracy,Precision,Recall,F1 Score
Random Forest,0.8884711779448621,0.9338235294117647,0.2,0.6666666666666666,0.3076923076923077
Logistic Regression,0.43358395989974935,0.45588235294117646,0.0136986301369863,0.3333333333333333,0.02631578947368421
